Jaar,Balanspost,Energiebron,Waarde in PJ
2000,Invoer,,82.6
2000,Uitvoer,,14.5
2000,BrutoProductie,Totaal energiedragers,324.7
2000,BrutoProductie,Steenkool,84.3
2000,BrutoProductie,Aardgas,189
2000,BrutoProductie,"Olieproducten, kolenrestgassen en overig",26.5
2000,BrutoProductie,Kernenergie,14.1
2000,BrutoProductie,Hernieuwbare energie,10.8
2000,BrutoProductie,Waterkracht,0.5
2000,BrutoProductie,Windenergie,3
2000,BrutoProductie,Zonne-energie,0
2000,BrutoProductie,Biomassa,7.2
2001,Invoer,,77.4
2001,Uitvoer,,15.2
2001,BrutoProductie,Totaal energiedragers,338.7
2001,BrutoProductie,Steenkool,89.7
2001,BrutoProductie,Aardgas,195.9
2001,BrutoProductie,"Olieproducten, kolenrestgassen en overig",26.9
2001,BrutoProductie,Kernenergie,14.3
2001,BrutoProductie,Hernieuwbare energie,11.9
2001,BrutoProductie,Waterkracht,0.4
2001,BrutoProductie,Windenergie,3
2001,BrutoProductie,Zonne-energie,0
2001,BrutoProductie,Biomassa,8.5
2002,Invoer,,75.1
2002,Uitvoer,,16.2
2002,BrutoProductie,Totaal energiedragers,342.3
2002,BrutoProductie,Steenkool,89.8
2002,BrutoProductie,Aardgas,198.5
2002,BrutoProductie,"Olieproducten, kolenrestgassen en overig",25.6
2002,BrutoProductie,Kernenergie,14.1
2002,BrutoProductie,Hernieuwbare energie,14.3
2002,BrutoProductie,Waterkracht,0.4
2002,BrutoProductie,Windenergie,3.4
2002,BrutoProductie,Zonne-energie,0.1
2002,BrutoProductie,Biomassa,10.5
2003,Invoer,,74.9
2003,Uitvoer,,13.7
2003,BrutoProductie,Totaal energiedragers,353.3
2003,BrutoProductie,Steenkool,93.2
2003,BrutoProductie,Aardgas,202.2
2003,BrutoProductie,"Olieproducten, kolenrestgassen en overig",29.2
2003,BrutoProductie,Kernenergie,14.5
2003,BrutoProductie,Hernieuwbare energie,14.3
2003,BrutoProductie,Waterkracht,0.3
2003,BrutoProductie,Windenergie,4.7
2003,BrutoProductie,Zonne-energie,0.1
2003,BrutoProductie,Biomassa,9.2
2004,Invoer,,77.1
2004,Uitvoer,,18.7
2004,BrutoProductie,Totaal energiedragers,367.7
2004,BrutoProductie,Steenkool,87.9
2004,BrutoProductie,Aardgas,217.8
2004,BrutoProductie,"Olieproducten, kolenrestgassen en overig",29.1
2004,BrutoProductie,Kernenergie,13.8
2004,BrutoProductie,Hernieuwbare energie,19.2
2004,BrutoProductie,Waterkracht,0.3
2004,BrutoProductie,Windenergie,6.7
2004,BrutoProductie,Zonne-energie,0.1
2004,BrutoProductie,Biomassa,12
2005,Invoer,,85.3
2005,Uitvoer,,19.4
2005,BrutoProductie,Totaal energiedragers,362.8
2005,BrutoProductie,Steenkool,83
2005,BrutoProductie,Aardgas,209.5
2005,BrutoProductie,"Olieproducten, kolenrestgassen en overig",28.9
2005,BrutoProductie,Kernenergie,14.4
2005,BrutoProductie,Hernieuwbare energie,26.9
2005,BrutoProductie,Waterkracht,0.3
2005,BrutoProductie,Windenergie,7.4
2005,BrutoProductie,Zonne-energie,0.1
2005,BrutoProductie,Biomassa,19
2006,Invoer,,98.4
2006,Uitvoer,,21.2
2006,BrutoProductie,Totaal energiedragers,355.8
2006,BrutoProductie,Steenkool,83.3
2006,BrutoProductie,Aardgas,205.5
2006,BrutoProductie,"Olieproducten, kolenrestgassen en overig",25.5
2006,BrutoProductie,Kernenergie,12.5
2006,BrutoProductie,Hernieuwbare energie,29
2006,BrutoProductie,Waterkracht,0.4
2006,BrutoProductie,Windenergie,9.8
2006,BrutoProductie,Zonne-energie,0.1
2006,BrutoProductie,Biomassa,18.7
2007,Invoer,,83.1
2007,Uitvoer,,19.7
2007,BrutoProductie,Totaal energiedragers,378.6
2007,BrutoProductie,Steenkool,88.6
2007,BrutoProductie,Aardgas,219.2
2007,BrutoProductie,"Olieproducten, kolenrestgassen en overig",28.3
2007,BrutoProductie,Kernenergie,15.1
2007,BrutoProductie,Hernieuwbare energie,27.4
2007,BrutoProductie,Waterkracht,0.4
2007,BrutoProductie,Windenergie,12.4
2007,BrutoProductie,Zonne-energie,0.1
2007,BrutoProductie,Biomassa,14.5
2008,Invoer,,89.9
2008,Uitvoer,,32.8
2008,BrutoProductie,Totaal energiedragers,389.5
2008,BrutoProductie,Steenkool,81.1
2008,BrutoProductie,Aardgas,232.4
2008,BrutoProductie,"Olieproducten, kolenrestgassen en overig",26.8
2008,BrutoProductie,Kernenergie,15
2008,BrutoProductie,Hernieuwbare energie,34.1
2008,BrutoProductie,Waterkracht,0.4
2008,BrutoProductie,Windenergie,15.3
2008,BrutoProductie,Zonne-energie,0.1
2008,BrutoProductie,Biomassa,18.3
2009,Invoer,,55.6
2009,Uitvoer,,38
2009,BrutoProductie,Totaal energiedragers,408.6
2009,BrutoProductie,Steenkool,84.4
2009,BrutoProductie,Aardgas,246.6
