Jaar;Balanspost;Energiedrager;Waarde in PJ
1990;Bunkering;Totaal energiedragers;520,2
1990;Bunkering;Aardoliegrondstoffen en producten;520,2
1990;Uitvoer;Totaal energiedragers;5071,4
1990;Uitvoer;Kool en koolproducten;24,7
1990;Uitvoer;Aardoliegrondstoffen en producten;3962,9
1990;Uitvoer;Aardgas;1081,4
1990;Uitvoer;Hernieuwbare energie;0,6
1990;Uitvoer;Biomassa;0,6
1990;Uitvoer;Elektriciteit;1,7
1990;Statistische verschillen;Totaal energiedragers;-38
1990;Statistische verschillen;Aardoliegrondstoffen en producten;-1,3
1990;Statistische verschillen;Aardgas;-38,5
1990;Statistische verschillen;Elektriciteit;1,8
1990;Totaal energieverbruik;Totaal energiedragers;2867
1990;Totaal energieverbruik;Kool en koolproducten;366,9
1990;Totaal energieverbruik;Aardoliegrondstoffen en producten;1059,7
1990;Totaal energieverbruik;Aardgas;1325
1990;Totaal energieverbruik;Kernenergie;38
1990;Totaal energieverbruik;Hernieuwbare energie;31,2
1990;Totaal energieverbruik;Waterkracht;0,3
1990;Totaal energieverbruik;Windenergie;0,2
1990;Totaal energieverbruik;Zonne-energie;0,1
1990;Totaal energieverbruik;Biomassa;30,6
1990;Totaal energieverbruik;Elektriciteit;31,3
1990;Totaal energieverbruik;Overig;14,8
1991;Bunkering;Totaal energiedragers;534,8
1991;Bunkering;Aardoliegrondstoffen en producten;534,8
1991;Uitvoer;Totaal energiedragers;5504,7
1991;Uitvoer;Kool en koolproducten;32,1
1991;Uitvoer;Aardoliegrondstoffen en producten;4254,1
1991;Uitvoer;Aardgas;1215,6
1991;Uitvoer;Hernieuwbare energie;0,7
1991;Uitvoer;Biomassa;0,7
1991;Uitvoer;Elektriciteit;2,2
1991;Statistische verschillen;Totaal energiedragers;-35,5
1991;Statistische verschillen;Kool en koolproducten;0
1991;Statistische verschillen;Aardoliegrondstoffen en producten;2,4
1991;Statistische verschillen;Aardgas;-39,7
1991;Statistische verschillen;Elektriciteit;1,8
1991;Totaal energieverbruik;Totaal energiedragers;2973,9
1991;Totaal energieverbruik;Kool en koolproducten;335,6
1991;Totaal energieverbruik;Aardoliegrondstoffen en producten;1047
1991;Totaal energieverbruik;Aardgas;1478,5
1991;Totaal energieverbruik;Kernenergie;36,1
1991;Totaal energieverbruik;Hernieuwbare energie;31,6
1991;Totaal energieverbruik;Waterkracht;0,4
1991;Totaal energieverbruik;Windenergie;0,3
1991;Totaal energieverbruik;Zonne-energie;0,1
1991;Totaal energieverbruik;Biomassa;30,8
1991;Totaal energieverbruik;Elektriciteit;31,2
1991;Totaal energieverbruik;Overig;13,8
1992;Bunkering;Totaal energiedragers;546
1992;Bunkering;Aardoliegrondstoffen en producten;546
1992;Uitvoer;Totaal energiedragers;5388,6
1992;Uitvoer;Kool en koolproducten;34,6
1992;Uitvoer;Aardoliegrondstoffen en producten;4065,6
1992;Uitvoer;Aardgas;1287
1992;Uitvoer;Hernieuwbare energie;0,6
1992;Uitvoer;Biomassa;0,6
1992;Uitvoer;Elektriciteit;0,8
1992;Statistische verschillen;Totaal energiedragers;-40
1992;Statistische verschillen;Kool en koolproducten;0
1992;Statistische verschillen;Aardoliegrondstoffen en producten;2,3
1992;Statistische verschillen;Aardgas;-46
1992;Statistische verschillen;Elektriciteit;3,6
1992;Totaal energieverbruik;Totaal energiedragers;2955,9
1992;Totaal energieverbruik;Kool en koolproducten;335,3
1992;Totaal energieverbruik;Aardoliegrondstoffen en producten;1059,8
1992;Totaal energieverbruik;Aardgas;1439,7
1992;Totaal energieverbruik;Kernenergie;43,2
1992;Totaal energieverbruik;Hernieuwbare energie;32,5
1992;Totaal energieverbruik;Waterkracht;0,4
1992;Totaal energieverbruik;Windenergie;0,5
1992;Totaal energieverbruik;Zonne-energie;0,1
1992;Totaal energieverbruik;Biomassa;31,4
1992;Totaal energieverbruik;Elektriciteit;27,6
1992;Totaal energieverbruik;Overig;17,8
1993;Bunkering;Totaal energiedragers;534,5
1993;Bunkering;Aardoliegrondstoffen en producten;534,5
1993;Uitvoer;Totaal energiedragers;5548
1993;Uitvoer;Kool en koolproducten;27,3
1993;Uitvoer;Aardoliegrondstoffen en producten;4201,5
1993;Uitvoer;Aardgas;1317,7
1993;Uitvoer;Hernieuwbare energie;0,6
1993;Uitvoer;Biomassa;0,6
1993;Uitvoer;Elektriciteit;1
1993;Statistische verschillen;Totaal energiedragers;-42,1
1993;Statistische verschillen;Kool en koolproducten;0
1993;Statistische verschillen;Aardoliegrondstoffen en producten;1,2
1993;Statistische verschillen;Aardgas;-45,9
1993;Statistische verschillen;Elektriciteit;2,6
1993;Totaal energieverbruik;Totaal energiedragers;3018,7
1993;Totaal energieverbruik;Kool en koolproducten;336,6
1993;Totaal energieverbruik;Aardoliegrondstoffen en producten;1070,4
1993;Totaal energieverbruik;Aardgas;1480,7
1993;Totaal energieverbruik;Kernenergie;42,5
1993;Totaal energieverbruik;Hernieuwbare energie;34,8
1993;Totaal energieverbruik;Waterkracht;0,3
1993;Totaal energieverbruik;Windenergie;0,6
1993;Totaal energieverbruik;Zonne-energie;0,2
1993;Totaal energieverbruik;Biomassa;33,7
1993;Totaal energieverbruik;Elektriciteit;34,5
1993;Totaal energieverbruik;Overig;19,2
1994;Bunkering;Totaal energiedragers;551,1
1994;Bunkering;Aardoliegrondstoffen en producten;551,1
1994;Uitvoer;Totaal energiedragers;5324,1
1994;Uitvoer;Kool en koolproducten;29,2
1994;Uitvoer;Aardoliegrondstoffen en producten;4073,4
1994;Uitvoer;Aardgas;1219,9
1994;Uitvoer;Hernieuwbare energie;0,6
1994;Uitvoer;Biomassa;0,6
1994;Uitvoer;Elektriciteit;1
1994;Statistische verschillen;Totaal energiedragers;-35,9
1994;Statistische verschillen;Kool en koolproducten;0
1994;Statistische verschillen;Aardoliegrondstoffen en producten;-2,6
1994;Statistische verschillen;Aardgas;-33,3
1994;Statistische verschillen;Elektriciteit;0
1994;Totaal energieverbruik;Totaal energiedragers;3027
1994;Totaal energieverbruik;Kool en koolproducten;367,2
1994;Totaal energieverbruik;Aardoliegrondstoffen en producten;1095,4
1994;Totaal energieverbruik;Aardgas;1430
1994;Totaal energieverbruik;Kernenergie;42,7
1994;Totaal energieverbruik;Hernieuwbare energie;35,1
1994;Totaal energieverbruik;Waterkracht;0,4
1994;Totaal energieverbruik;Windenergie;0,9
1994;Totaal energieverbruik;Zonne-energie;0,2
1994;Totaal energieverbruik;Omgevingsenergie;0
1994;Totaal energieverbruik;Biomassa;33,6
1994;Totaal energieverbruik;Elektriciteit;38
1994;Totaal energieverbruik;Overig;18,7
1995;Bunkering;Totaal energiedragers;557,8
1995;Bunkering;Aardoliegrondstoffen en producten;557,8
1995;Uitvoer;Totaal energiedragers;5250,4
1995;Uitvoer;Kool en koolproducten;32,6
1995;Uitvoer;Aardoliegrondstoffen en producten;3995,5
1995;Uitvoer;Aardgas;1219,6
1995;Uitvoer;Hernieuwbare energie;0,6
1995;Uitvoer;Biomassa;0,6
1995;Uitvoer;Elektriciteit;2,1
1995;Statistische verschillen;Totaal energiedragers;-22,5
1995;Statistische verschillen;Aardoliegrondstoffen en producten;-1
1995;Statistische verschillen;Aardgas;-24,6
1995;Statistische verschillen;Hernieuwbare energie;0
1995;Statistische verschillen;Biomassa;0
1995;Statistische verschillen;Elektriciteit;3,1
1995;Totaal energieverbruik;Totaal energiedragers;3107,1
1995;Totaal energieverbruik;Kool en koolproducten;373,6
1995;Totaal energieverbruik;Aardoliegrondstoffen en producten;1122,4
1995;Totaal energieverbruik;Aardgas;1468,9
1995;Totaal energieverbruik;Kernenergie;43,1
1995;Totaal energieverbruik;Hernieuwbare energie;38,5
1995;Totaal energieverbruik;Waterkracht;0,3
1995;Totaal energieverbruik;Windenergie;1,1
1995;Totaal energieverbruik;Zonne-energie;0,2
1995;Totaal energieverbruik;Omgevingsenergie;0
1995;Totaal energieverbruik;Biomassa;36,8
1995;Totaal energieverbruik;Elektriciteit;37,9
1995;Totaal energieverbruik;Overig;22,8
1996;Bunkering;Totaal energiedragers;583,5
1996;Bunkering;Aardoliegrondstoffen en producten;583,5
1996;Uitvoer;Totaal energiedragers;5690,2
1996;Uitvoer;Kool en koolproducten;27,3
1996;Uitvoer;Aardoliegrondstoffen en producten;4195,7
1996;Uitvoer;Aardgas;1464
1996;Uitvoer;Hernieuwbare energie;0,7
1996;Uitvoer;Biomassa;0,7
1996;Uitvoer;Elektriciteit;2,5
1996;Statistische verschillen;Totaal energiedragers;-32,7
1996;Statistische verschillen;Kool en koolproducten;0
1996;Statistische verschillen;Aardoliegrondstoffen en producten;2,3
1996;Statistische verschillen;Aardgas;-36,9
1996;Statistische verschillen;Hernieuwbare energie;0,1
1996;Statistische verschillen;Biomassa;0,1
1996;Statistische verschillen;Elektriciteit;1,8
1996;Totaal energieverbruik;Totaal energiedragers;3287,2
1996;Totaal energieverbruik;Kool en koolproducten;361,1
1996;Totaal energieverbruik;Aardoliegrondstoffen en producten;1146,8
1996;Totaal energieverbruik;Aardgas;1627,9
1996;Totaal energieverbruik;Kernenergie;44,5
1996;Totaal energieverbruik;Hernieuwbare energie;44,1
1996;Totaal energieverbruik;Waterkracht;0,3
1996;Totaal energieverbruik;Windenergie;1,6
1996;Totaal energieverbruik;Zonne-energie;0,2
1996;Totaal energieverbruik;Omgevingsenergie;0
1996;Totaal energieverbruik;Biomassa;41,9
1996;Totaal energieverbruik;Elektriciteit;36,3
1996;Totaal energieverbruik;Overig;26,4
1997;Bunkering;Totaal energiedragers;627,7
1997;Bunkering;Aardoliegrondstoffen en producten;627,7
1997;Uitvoer;Totaal energiedragers;5651,7
1997;Uitvoer;Kool en koolproducten;30,4
1997;Uitvoer;Aardoliegrondstoffen en producten;4345,6
1997;Uitvoer;Aardgas;1273,5
1997;Uitvoer;Hernieuwbare energie;0,5
1997;Uitvoer;Biomassa;0,5
1997;Uitvoer;Elektriciteit;1,7
1997;Statistische verschillen;Totaal energiedragers;-24,9
1997;Statistische verschillen;Kool en koolproducten;0
1997;Statistische verschillen;Aardoliegrondstoffen en producten;2,5
1997;Statistische verschillen;Aardgas;-28,5
1997;Statistische verschillen;Hernieuwbare energie;-0,1
1997;Statistische verschillen;Biomassa;-0,1
1997;Statistische verschillen;Elektriciteit;1,1
1997;Totaal energieverbruik;Totaal energiedragers;3173,2
1997;Totaal energieverbruik;Kool en koolproducten;351,7
1997;Totaal energieverbruik;Aardoliegrondstoffen en producten;1147,8
1997;Totaal energieverbruik;Aardgas;1525,3
1997;Totaal energieverbruik;Kernenergie;25,2
1997;Totaal energieverbruik;Hernieuwbare energie;48
1997;Totaal energieverbruik;Waterkracht;0,3
1997;Totaal energieverbruik;Windenergie;1,7
1997;Totaal energieverbruik;Zonne-energie;0,3
1997;Totaal energieverbruik;Omgevingsenergie;0,1
1997;Totaal energieverbruik;Biomassa;45,6
1997;Totaal energieverbruik;Elektriciteit;44,3
1997;Totaal energieverbruik;Overig;31
1998;Bunkering;Totaal energiedragers;634,6
1998;Bunkering;Aardoliegrondstoffen en producten;634,6
1998;Uitvoer;Totaal energiedragers;5522,8
1998;Uitvoer;Kool en koolproducten;33,8
1998;Uitvoer;Aardoliegrondstoffen en producten;4319
1998;Uitvoer;Aardgas;1166
1998;Uitvoer;Hernieuwbare energie;2,4
1998;Uitvoer;Biomassa;2,4
1998;Uitvoer;Elektriciteit;1,5
1998;Statistische verschillen;Totaal energiedragers;-15,2
1998;Statistische verschillen;Kool en koolproducten;0
1998;Statistische verschillen;Aardoliegrondstoffen en producten;1,2
1998;Statistische verschillen;Aardgas;-18,7
1998;Statistische verschillen;Hernieuwbare energie;0
1998;Statistische verschillen;Biomassa;0
1998;Statistische verschillen;Elektriciteit;2,4
1998;Totaal energieverbruik;Totaal energiedragers;3182,2
1998;Totaal energieverbruik;Kool en koolproducten;357,9
1998;Totaal energieverbruik;Aardoliegrondstoffen en producten;1156,2
1998;Totaal energieverbruik;Aardgas;1506,2
1998;Totaal energieverbruik;Kernenergie;39,3
1998;Totaal energieverbruik;Hernieuwbare energie;50,6
1998;Totaal energieverbruik;Waterkracht;0,4
1998;Totaal energieverbruik;Windenergie;2,3
1998;Totaal energieverbruik;Zonne-energie;0,3
1998;Totaal energieverbruik;Omgevingsenergie;0,1
1998;Totaal energieverbruik;Biomassa;47,5
1998;Totaal energieverbruik;Elektriciteit;40,1
1998;Totaal energieverbruik;Overig;31,9
1999;Bunkering;Totaal energiedragers;660,3
1999;Bunkering;Aardoliegrondstoffen en producten;660,3
1999;Uitvoer;Totaal energiedragers;5451,5
1999;Uitvoer;Kool en koolproducten;24,7
1999;Uitvoer;Aardoliegrondstoffen en producten;4266,7
1999;Uitvoer;Aardgas;1142,6
1999;Uitvoer;Hernieuwbare energie;3,3
1999;Uitvoer;Biomassa;3,3
1999;Uitvoer;Elektriciteit;14,3
1999;Statistische verschillen;Totaal energiedragers;-28,5
1999;Statistische verschillen;Kool en koolproducten;0
1999;Statistische verschillen;Aardoliegrondstoffen en producten;-6,7
1999;Statistische verschillen;Aardgas;-23,8
1999;Statistische verschillen;Hernieuwbare energie;0
1999;Statistische verschillen;Biomassa;0
1999;Statistische verschillen;Elektriciteit;2
1999;Totaal energieverbruik;Totaal energiedragers;3136,2
1999;Totaal energieverbruik;Kool en koolproducten;312,3
1999;Totaal energieverbruik;Aardoliegrondstoffen en producten;1163
1999;Totaal energieverbruik;Aardgas;1471,6
1999;Totaal energieverbruik;Kernenergie;39,7
1999;Totaal energieverbruik;Hernieuwbare energie;52,9
1999;Totaal energieverbruik;Waterkracht;0,3
1999;Totaal energieverbruik;Windenergie;2,3
1999;Totaal energieverbruik;Zonne-energie;0,4
1999;Totaal energieverbruik;Omgevingsenergie;0,1
1999;Totaal energieverbruik;Biomassa;49,7
1999;Totaal energieverbruik;Elektriciteit;64,3
1999;Totaal energieverbruik;Overig;32,4
2000;Bunkering;Totaal energiedragers;689,2
2000;Bunkering;Aardoliegrondstoffen en producten;689,2
2000;Uitvoer;Totaal energiedragers;5686,7
2000;Uitvoer;Kool en koolproducten;16,8
2000;Uitvoer;Aardoliegrondstoffen en producten;4408,5
2000;Uitvoer;Aardgas;1241,9
2000;Uitvoer;Hernieuwbare energie;5
2000;Uitvoer;Biomassa;5
2000;Uitvoer;Elektriciteit;14,5
2000;Statistische verschillen;Totaal energiedragers;-11,6
2000;Statistische verschillen;Kool en koolproducten;0
2000;Statistische verschillen;Aardoliegrondstoffen en producten;-4,9
2000;Statistische verschillen;Aardgas;-10
2000;Statistische verschillen;Hernieuwbare energie;0
2000;Statistische verschillen;Biomassa;0
2000;Statistische verschillen;Elektriciteit;3,3
2000;Totaal energieverbruik;Totaal energiedragers;3158,1
2000;Totaal energieverbruik;Kool en koolproducten;325,2
2000;Totaal energieverbruik;Aardoliegrondstoffen en producten;1163,7
2000;Totaal energieverbruik;Aardgas;1475,7
2000;Totaal energieverbruik;Kernenergie;40,5
2000;Totaal energieverbruik;Hernieuwbare energie;56,7
2000;Totaal energieverbruik;Waterkracht;0,5
2000;Totaal energieverbruik;Windenergie;3
