Jaar,Balanspost,Energiedrager,Waarde in PJ
1990,Winning,Totaal energiedragers,2542.1
1990,Winning,Aardoliegrondstoffen en producten,175.2
1990,Winning,Aardgas,2283
1990,Winning,Kernenergie,38
1990,Winning,Hernieuwbare energie,31.1
1990,Winning,Waterkracht,0.3
1990,Winning,Windenergie,0.2
1990,Winning,Zonne-energie,0.1
1990,Winning,Biomassa,30.5
1990,Winning,Overig,14.8
1990,Invoer,Totaal energiedragers,5868.2
1990,Invoer,Kool en koolproducten,389.5
1990,Invoer,Aardoliegrondstoffen en producten,5358
1990,Invoer,Aardgas,85.1
1990,Invoer,Hernieuwbare energie,0.8
1990,Invoer,Biomassa,0.8
1990,Invoer,Elektriciteit,34.8
1990,Voorraadmutatie,Totaal energiedragers,10.1
1990,Voorraadmutatie,Kool en koolproducten,2
1990,Voorraadmutatie,Aardoliegrondstoffen en producten,8.3
1990,Voorraadmutatie,Aardgas,-0.2
1991,Winning,Totaal energiedragers,2831.7
1991,Winning,Aardoliegrondstoffen en producten,169.1
1991,Winning,Aardgas,2581.2
1991,Winning,Kernenergie,36.1
1991,Winning,Hernieuwbare energie,31.5
1991,Winning,Waterkracht,0.4
1991,Winning,Windenergie,0.3
1991,Winning,Zonne-energie,0.1
1991,Winning,Biomassa,30.7
1991,Winning,Overig,13.8
1991,Invoer,Totaal energiedragers,6154.4
1991,Invoer,Kool en koolproducten,367.9
1991,Invoer,Aardoliegrondstoffen en producten,5677.2
1991,Invoer,Aardgas,73.3
1991,Invoer,Hernieuwbare energie,0.8
1991,Invoer,Biomassa,0.8
1991,Invoer,Elektriciteit,35.2
1991,Voorraadmutatie,Totaal energiedragers,-8.3
1991,Voorraadmutatie,Kool en koolproducten,-0.1
1991,Voorraadmutatie,Aardoliegrondstoffen en producten,-8
1991,Voorraadmutatie,Aardgas,-0.1
1992,Winning,Totaal energiedragers,2838.9
1992,Winning,Aardoliegrondstoffen en producten,153.3
1992,Winning,Aardgas,2592.2
1992,Winning,Kernenergie,43.2
1992,Winning,Hernieuwbare energie,32.4
1992,Winning,Waterkracht,0.4
1992,Winning,Windenergie,0.5
1992,Winning,Zonne-energie,0.1
1992,Winning,Biomassa,31.3
1992,Winning,Overig,17.8
1992,Invoer,Totaal energiedragers,6047.3
1992,Invoer,Kool en koolproducten,370.1
1992,Invoer,Aardoliegrondstoffen en producten,5555.9
1992,Invoer,Aardgas,88.6
1992,Invoer,Hernieuwbare energie,0.7
1992,Invoer,Biomassa,0.7
1992,Invoer,Elektriciteit,32.1
1992,Voorraadmutatie,Totaal energiedragers,-35.7
1992,Voorraadmutatie,Kool en koolproducten,-0.2
1992,Voorraadmutatie,Aardoliegrondstoffen en producten,-35.5
1992,Voorraadmutatie,Aardgas,-0.1
1993,Winning,Totaal energiedragers,2892
1993,Winning,Aardoliegrondstoffen en producten,153.2
1993,Winning,Aardgas,2642.4
1993,Winning,Kernenergie,42.5
1993,Winning,Hernieuwbare energie,34.7
1993,Winning,Waterkracht,0.3
1993,Winning,Windenergie,0.6
1993,Winning,Zonne-energie,0.2
1993,Winning,Biomassa,33.6
1993,Winning,Overig,19.2
1993,Invoer,Totaal energiedragers,6158.8
1993,Invoer,Kool en koolproducten,361.1
1993,Invoer,Aardoliegrondstoffen en producten,5648.5
1993,Invoer,Aardgas,110.5
1993,Invoer,Hernieuwbare energie,0.7
1993,Invoer,Biomassa,0.7
1993,Invoer,Elektriciteit,38.1
1993,Voorraadmutatie,Totaal energiedragers,8.2
1993,Voorraadmutatie,Kool en koolproducten,2.8
1993,Voorraadmutatie,Aardoliegrondstoffen en producten,5.9
1993,Voorraadmutatie,Aardgas,-0.5
1994,Winning,Totaal energiedragers,2802.5
1994,Winning,Aardoliegrondstoffen en producten,199.5
1994,Winning,Aardgas,2506.6
1994,Winning,Kernenergie,42.7
1994,Winning,Hernieuwbare energie,34.9
1994,Winning,Waterkracht,0.4
1994,Winning,Windenergie,0.9
1994,Winning,Zonne-energie,0.2
1994,Winning,Omgevingsenergie,0
1994,Winning,Biomassa,33.5
1994,Winning,Overig,18.7
1994,Invoer,Totaal energiedragers,6103.4
1994,Invoer,Kool en koolproducten,398.6
1994,Invoer,Aardoliegrondstoffen en producten,5554.8
1994,Invoer,Aardgas,110.2
1994,Invoer,Hernieuwbare energie,0.7
1994,Invoer,Biomassa,0.7
1994,Invoer,Elektriciteit,39.1
1994,Voorraadmutatie,Totaal energiedragers,-39.5
1994,Voorraadmutatie,Kool en koolproducten,-2.3
1994,Voorraadmutatie,Aardoliegrondstoffen en producten,-37
1994,Voorraadmutatie,Aardgas,-0.2
1995,Winning,Totaal energiedragers,2814.8
1995,Winning,Aardoliegrondstoffen en producten,162.3
1995,Winning,Aardgas,2548.2
1995,Winning,Kernenergie,43.1
1995,Winning,Hernieuwbare energie,38.4
1995,Winning,Waterkracht,0.3
1995,Winning,Windenergie,1.1
1995,Winning,Zonne-energie,0.2
1995,Winning,Omgevingsenergie,0
1995,Winning,Biomassa,36.7
1995,Winning,Overig,22.8
1995,Invoer,Totaal energiedragers,6001.4
1995,Invoer,Kool en koolproducten,409.1
1995,Invoer,Aardoliegrondstoffen en producten,5432.9
1995,Invoer,Aardgas,115.6
1995,Invoer,Hernieuwbare energie,0.7
1995,Invoer,Biomassa,0.7
1995,Invoer,Elektriciteit,43.1
1995,Voorraadmutatie,Totaal energiedragers,76.6
1995,Voorraadmutatie,Kool en koolproducten,-2.9
1995,Voorraadmutatie,Aardoliegrondstoffen en producten,79.4
1995,Voorraadmutatie,Aardgas,0
1995,Voorraadmutatie,Aardgas,0
1996,Winning,Totaal energiedragers,3146.2
1996,Winning,Aardoliegrondstoffen en producten,147.2
1996,Winning,Aardgas,2883.9
1996,Winning,Kernenergie,44.5
1996,Winning,Hernieuwbare energie,44
1996,Winning,Waterkracht,0.3
1996,Winning,Windenergie,1.6
1996,Winning,Zonne-energie,0.2
1996,Winning,Omgevingsenergie,0
1996,Winning,Biomassa,41.9
1996,Winning,Overig,26.4
1996,Invoer,Totaal energiedragers,6386.7
1996,Invoer,Kool en koolproducten,385.6
1996,Invoer,Aardoliegrondstoffen en producten,5788.9
1996,Invoer,Aardgas,170.8
1996,Invoer,Hernieuwbare energie,0.8
1996,Invoer,Biomassa,0.8
1996,Invoer,Elektriciteit,40.6
1996,Voorraadmutatie,Totaal energiedragers,-4.8
1996,Voorraadmutatie,Kool en koolproducten,2.8
1996,Voorraadmutatie,Aardoliegrondstoffen en producten,-7.8
1996,Voorraadmutatie,Aardgas,0.2
1997,Winning,Totaal energiedragers,2799.6
1997,Winning,Aardoliegrondstoffen en producten,141.4
1997,Winning,Aardgas,2554.2
1997,Winning,Kernenergie,25.2
1997,Winning,Hernieuwbare energie,47.8
1997,Winning,Waterkracht,0.3
1997,Winning,Windenergie,1.7
1997,Winning,Zonne-energie,0.3
1997,Winning,Omgevingsenergie,0.1
